Series_Title,Overview,Similarity_To_Preference
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,0.0
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",0.0
Barfi!,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,0.0
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",0.0
Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",0.0
Ôkami kodomo no Ame to Yuki,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",0.0
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",0.0
The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",0.0
OMG: Oh My God!,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,0.0
Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",0.0
Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,0.0
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",0.0
Taegukgi hwinalrimyeo,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",0.0
Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",0.0
Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,0.0
Lage Raho Munna Bhai,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,0.0
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,0.0
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",0.0
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",0.0
Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",0.0
Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,0.0
Okuribito,A newly unemployed cellist takes a job preparing the dead for funerals.,0.0
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",0.0
Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",0.0
A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,0.0
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,0.0
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",0.0
Fa yeung nin wah,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",0.0
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",0.0
"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,0.0
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,0.0
La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",0.0
The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,0.0
Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,0.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,0.0
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",0.0
Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",0.0
Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",0.0
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",0.0
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",0.0
Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",0.0
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,0.0
Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,0.0
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",0.0
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",0.0
Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",0.0
Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,0.0
Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",0.0
Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,0.0
In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,0.0
Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,0.0
Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",0.0
Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,0.0
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",0.0
Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",0.0
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,0.0
Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",0.0
Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,0.0
Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,0.0
Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",0.0
Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",0.0
Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",0.0
Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",0.0
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,0.0
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,0.0
Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,0.0
The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,0.0
Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",0.0
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",0.0
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",0.0
Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",0.0
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",0.0
Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,0.0
Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",0.0
Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,0.0
Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",0.0
Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",0.0
Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",0.0
Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",0.0
Jungfrukällan,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",0.0
Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",0.0
The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,0.0
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",0.0
What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,0.0
El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,0.0
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",0.0
Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",0.0
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,0.0
Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",0.0
Sunrise: A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,0.0
The Circus,The Tramp finds work and the girl of his dreams at a circus.,0.0
La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",0.0
It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",0.0
La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",0.0
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,0.0
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",0.0
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,0.0
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",0.0
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,0.0
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",0.0
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,0.0
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",0.0
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",0.0
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,0.0
Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",0.0
Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",0.0
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,0.0
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",0.0
Togo,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",0.0
Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,0.0
Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,0.0
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,0.0
Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",0.0
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",0.0
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",0.0
Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",0.0
Kaguyahime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",0.0
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",0.1369696906167449
Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,0.0
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",0.0
Special Chabbis,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,0.0
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",0.0
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",0.0
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",0.0
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,0.0
The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",0.0
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",0.0
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",0.0
Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",0.0
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,0.0
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",0.0
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",0.0
Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",0.0
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,0.0
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,0.0
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,0.0
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,0.0
Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",0.0
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",0.0
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",0.0
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",0.0
Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,0.0
Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",0.0
Yip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",0.0
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,0.0
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",0.0
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,0.0
Bin-jip,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,0.0
Sin City,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",0.19267304157846757
Le scaphandre et le papillon,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,0.0
G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,0.0
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",0.0
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,0.0
Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",0.0
Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",0.0
Mar adentro,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",0.0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,0.0
Vozvrashchenie,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",0.0
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,0.0
JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,0.0
8½,A harried movie director retreats into his memories and fantasies.,0.2556803344350098
Vivre sa vie: Film en douze tableaux,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,0.0
Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",0.0
Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",0.0
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,0.0
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,0.0
The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",0.0
Mou gaan dou,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",0.0
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",0.0
Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,0.0
The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",0.23360258956229496
Yeopgijeogin geunyeo,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",0.0
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",0.0
Vizontele,Lives of residents in a small Anatolian village change when television is introduced to them,0.0
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",0.0
Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",0.0
Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",0.0
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",0.0
Pâfekuto burû,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",0.0
Festen,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",0.0
Central do Brasil,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",0.0
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,0.0
Knockin' on Heaven's Door,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",0.0
Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",0.0
Secrets & Lies,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",0.0
Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",0.0
Kôkaku Kidôtai,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,0.0
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",0.0
Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,0.0
Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",0.0
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",0.0
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,0.0
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",0.0
Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,0.0
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",0.0
The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",0.0
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",0.0
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",0.0
Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",0.0
Der Himmel über Berlin,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,0.0
Au revoir les enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",0.0
Tenkû no shiro Rapyuta,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,0.0
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",0.0
Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,0.0
Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,0.0
Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",0.0
Annie Hall,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,0.0
Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",0.0
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",0.0
Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,0.0
Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",0.0
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,0.0
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",0.0
The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,0.0
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",0.0
Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",0.0
Per un pugno di dollari,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",0.0
The Killing,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,0.0
Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,0.0
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",0.0
Rio Bravo,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",0.0
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",0.0
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,0.0
La dolce vita,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,0.0
The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",0.0
All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",0.0
